severity,type,message,month,product,batch_no,finance_points,people_points,diff
WARN,empty_batch_no,1月 泮托拉唑钠肠溶片 存在空批号批次,1,泮托拉唑钠肠溶片,,,,
WARN,empty_batch_points,1月 硝酸异山梨酯片 批号20250106 工分为空,1,硝酸异山梨酯片,20250106,,,
WARN,empty_batch_points,1月 硝酸异山梨酯片 批号20250107 工分为空,1,硝酸异山梨酯片,20250107,,,
WARN,empty_batch_no,1月 克拉霉素胶囊 存在空批号批次,1,克拉霉素胶囊,,,,
WARN,empty_batch_no,2月 泮托拉唑钠肠溶片 存在空批号批次,2,泮托拉唑钠肠溶片,,,,
WARN,empty_batch_no,2月 泮托拉唑钠肠溶片 存在空批号批次,2,泮托拉唑钠肠溶片,,,,
WARN,empty_batch_points,2月 硝酸异山梨酯片 批号20250216 工分为空,2,硝酸异山梨酯片,20250216,,,
WARN,empty_batch_points,2月 硝酸异山梨酯片 批号20250217 工分为空,2,硝酸异山梨酯片,20250217,,,
WARN,empty_batch_points,3月 泮托拉唑钠肠溶片 批号20250307 工分为空,3,泮托拉唑钠肠溶片,20250307,,,
WARN,empty_batch_no,3月 泮托拉唑钠肠溶片 存在空批号批次,3,泮托拉唑钠肠溶片,,,,
WARN,empty_batch_points,3月 泮托拉唑钠肠溶片 批号20250311 工分为空,3,泮托拉唑钠肠溶片,20250311,,,
WARN,empty_batch_points,3月 甘草酸二铵胶囊 批号20250312 工分为空,3,甘草酸二铵胶囊,20250312,,,
WARN,empty_batch_no,4月 泮托拉唑钠肠溶片 存在空批号批次,4,泮托拉唑钠肠溶片,,,,
WARN,empty_batch_points,4月 甘草酸二铵胶囊 批号20250412 工分为空,4,甘草酸二铵胶囊,20250412,,,
WARN,empty_batch_points,4月 别嘌醇片 批号20250427 工分为空,4,别嘌醇片,20250427,,,
WARN,empty_batch_points,4月 别嘌醇片 批号20250428 工分为空,4,别嘌醇片,20250428,,,
WARN,empty_batch_points,4月 别嘌醇片 批号20250429 工分为空,4,别嘌醇片,20250429,,,
WARN,empty_batch_points,4月 别嘌醇片 批号20250430 工分为空,4,别嘌醇片,20250430,,,
WARN,empty_batch_points,5月 别嘌醇片 批号20250503 工分为空,5,别嘌醇片,20250503,,,
WARN,empty_batch_points,5月 别嘌醇片 批号20250504 工分为空,5,别嘌醇片,20250504,,,
WARN,empty_batch_points,5月 别嘌醇片 批号20250505 工分为空,5,别嘌醇片,20250505,,,
WARN,empty_batch_points,5月 别嘌醇片 批号20250506 工分为空,5,别嘌醇片,20250506,,,
WARN,empty_batch_points,5月 别嘌醇片 批号20250507 工分为空,5,别嘌醇片,20250507,,,
WARN,empty_batch_points,5月 盐酸氧氟沙星胶囊 批号20250505 工分为空,5,盐酸氧氟沙星胶囊,20250505,,,
WARN,empty_batch_no,5月 盐酸氧氟沙星胶囊 存在空批号批次,5,盐酸氧氟沙星胶囊,,,,
WARN,empty_batch_no,5月 泮托拉唑钠肠溶片 存在空批号批次,5,泮托拉唑钠肠溶片,,,,
WARN,empty_batch_no,5月 泮托拉唑钠肠溶片 存在空批号批次,5,泮托拉唑钠肠溶片,,,,
WARN,empty_batch_points,5月 阿替洛尔片 批号20250516 工分为空,5,阿替洛尔片,20250516,,,
WARN,empty_batch_points,5月 阿替洛尔片 批号20250517 工分为空,5,阿替洛尔片,20250517,,,
WARN,empty_batch_points,5月 阿替洛尔片 批号20250518 工分为空,5,阿替洛尔片,20250518,,,
WARN,empty_batch_points,5月 阿替洛尔片 批号20250519 工分为空,5,阿替洛尔片,20250519,,,
WARN,empty_batch_no,6月 泮托拉唑钠肠溶片 存在空批号批次,6,泮托拉唑钠肠溶片,,,,
WARN,empty_batch_points,6月 泮托拉唑钠肠溶片 批号20250608 工分为空,6,泮托拉唑钠肠溶片,20250608,,,
WARN,empty_batch_no,6月 盐酸氧氟沙星胶囊 存在空批号批次,6,盐酸氧氟沙星胶囊,,,,
WARN,empty_batch_points,6月 硝酸异山梨酯片 批号20250618 工分为空,6,硝酸异山梨酯片,20250618,,,
WARN,empty_batch_no,6月 泮托拉唑钠肠溶片 存在空批号批次,6,泮托拉唑钠肠溶片,,,,
WARN,empty_batch_points,6月 克拉霉素胶囊 批号20250630 工分为空,6,克拉霉素胶囊,20250630,,,
WARN,empty_batch_no,6月 克拉霉素胶囊 存在空批号批次,6,克拉霉素胶囊,,,,
WARN,empty_batch_points,6月 克拉霉素胶囊 批号None 工分为空,6,克拉霉素胶囊,,,,
WARN,empty_batch_no,7月 克拉霉素胶囊 存在空批号批次,7,克拉霉素胶囊,,,,
WARN,empty_batch_points,7月 泮托拉唑钠肠溶片 批号20250702 工分为空,7,泮托拉唑钠肠溶片,20250702,,,
WARN,empty_batch_points,7月 泮托拉唑钠肠溶片 批号20250703 工分为空,7,泮托拉唑钠肠溶片,20250703,,,
WARN,empty_batch_points,7月 复方芦丁片 批号20250708 工分为空,7,复方芦丁片,20250708,,,
WARN,empty_batch_points,7月 甘草酸二铵胶囊 批号20250702 工分为空,7,甘草酸二铵胶囊,20250702,,,
WARN,empty_batch_points,8月 甘草酸二铵胶囊 批号20250806 工分为空,8,甘草酸二铵胶囊,20250806,,,
WARN,empty_batch_no,8月 泮托拉唑钠肠溶片 存在空批号批次,8,泮托拉唑钠肠溶片,,,,
WARN,empty_batch_points,8月 泮托拉唑钠肠溶片 批号20250810 工分为空,8,泮托拉唑钠肠溶片,20250810,,,
WARN,empty_batch_points,8月 硝酸异山梨酯片 批号20250814 工分为空,8,硝酸异山梨酯片,20250814,,,
WARN,empty_batch_points,8月 氢氯噻嗪片 批号20250830 工分为空,8,氢氯噻嗪片,20250830,,,
WARN,empty_batch_points,9月 氢氯噻嗪片 批号20250830 工分为空,9,氢氯噻嗪片,20250830,,,
WARN,empty_batch_points,9月 阿替洛尔片 批号20250903 工分为空,9,阿替洛尔片,20250903,,,
WARN,empty_batch_points,9月 阿替洛尔片 批号20250904 工分为空,9,阿替洛尔片,20250904,,,
WARN,empty_batch_points,9月 阿替洛尔片 批号20250905 工分为空,9,阿替洛尔片,20250905,,,
WARN,empty_batch_points,9月 阿替洛尔片 批号20250906 工分为空,9,阿替洛尔片,20250906,,,
